year,month,day,MSL pressure,Maximum temperature,Minimum temperature,Mean air temperature,Cloud cover,Wind speed,Sunshine duration,Total solar radiation
2019,1,1,1034.9,9.6,6.1,7.8,7,2.1,0.2,1.75
2019,1,2,1044.1,5.5,0.9,3.2,8,0.9,0,1.65
2019,1,3,1043.6,4.2,3.2,3.7,7,0.8,0,1.51
2019,1,4,1043.7,3.6,-2.5,0.6,5,0,5,4.27
2019,1,5,1039.9,6.3,-1.7,2.3,8,1.9,0,0.84
2019,1,6,1037.7,9.1,3.2,6.2,8,1,0,1.62
2019,1,7,1034.4,10.8,5.8,8.3,8,2.6,0,1.21
2019,1,8,1028.8,8.6,5.8,7.2,5,3.2,5.2,3.97
2019,1,9,1030.6,5.5,1.7,3.6,2,1.7,4.3,3.86
2019,1,10,1030.3,7.2,-0.6,3.3,6,1.3,0,1.55
2019,1,11,1030.6,8.4,0.5,4.5,7,1.2,0.9,2.81
2019,1,12,1025.4,10.3,5.8,8.1,6,3.4,0,1.29
2019,1,13,1015.6,11.3,8.1,9.7,6,4.6,0.2,1.61
2019,1,14,1020.6,9,5.6,7.3,6,3.6,1.2,2.36
2019,1,15,1021.5,8.7,1.4,5,7,3.4,0,1.72
2019,1,16,1006.4,9.8,5.7,7.8,8,3.6,0,1
2019,1,17,1011.1,4.9,0.7,2.8,3,1.9,4.5,4.86
2019,1,18,1017.9,6.3,-2.6,1.8,6,1.2,1.2,3.52
2019,1,19,1008.4,5.3,-0.9,2.2,8,2.6,0,0.83
2019,1,20,1016.1,5.1,-2.2,1.4,7,0,4.8,4.76
2019,1,21,1024.3,6.1,-0.2,2.9,8,0.7,0,1.85
2019,1,22,1003.9,5.5,0.3,2.9,2,2.9,3.1,3.16
2019,1,23,1001.8,2.5,-2.3,0.1,7,0,4.6,4.1
2019,1,24,1011.5,5.8,-3.5,1.1,7,0,0,2.09
2019,1,25,1014.2,12.8,-1.3,5.8,7,1,0.9,3.21
2019,1,26,1008.5,10.2,5.3,7.8,7,4.4,0.5,2.72
2019,1,27,992.5,6.3,3.4,4.8,6,4.7,2.8,3.55
2019,1,28,1005.6,5.7,0.5,3.1,0,2.1,7.3,6.14
2019,1,29,1001.6,5.8,-2,1.9,4,0.7,0.4,3.48
2019,1,30,995.8,5.7,-2.4,1.7,2,1.5,6.2,7.07
2019,1,31,993.7,3.4,-5.7,-1.2,8,0.7,0.6,3.67
2019,2,1,985.6,1.8,-4.2,-1.2,8,4.2,0,0.73
2019,2,2,1005.9,4.5,-0.7,1.9,3,2.5,7.5,6.95
2019,2,3,1024.1,6.8,-5.1,0.9,1,1.2,6.5,7.91
2019,2,4,1015.5,9.4,-3.2,3.1,8,5.5,0,1.62
2019,2,5,1024.3,9.7,2.9,6.3,8,1,0,1.57
2019,2,6,1019.7,10.7,5,7.8,6,1.9,0.8,4.32
2019,2,7,1005.3,9.6,5.7,7.7,3,6.1,5.5,5.78
2019,2,8,999.9,11,5.7,8.3,8,6.3,0,1.35
2019,2,9,1001.1,10.1,6,8.1,5,3.7,4.1,5.94
2019,2,10,991.7,10.2,4.9,7.5,8,2.7,2.1,3.65
2019,2,11,1022.9,9.1,2.2,5.7,6,1.6,3.1,5.12
2019,2,12,1033.1,10.9,0.1,5.5,8,2.3,3,5.98
2019,2,13,1033.3,11.6,4.6,8.1,6,1.4,4.5,6.57
2019,2,14,1033.2,13.4,-1.2,6.1,9,0,6.5,8.33
2019,2,15,1028.5,13.7,-2,5.8,9,0.5,5.6,8.02
2019,2,16,1023,12.2,1,6.6,8,0.6,0,1.95
2019,2,17,1014.6,13.5,3.4,8.4,2,1.5,4.8,6.68
2019,2,18,1015.2,9.4,7.1,8.3,8,2.9,0,2.5
2019,2,19,1019.6,11.8,1.8,6.8,1,2.3,7.3,8.98
2019,2,20,1019.5,12.4,4.4,8.4,8,3.1,2.1,5.31
2019,2,21,1025.4,14.1,7.1,10.6,8,3.4,5.4,7.57
2019,2,22,1035.7,14.3,5.6,9.9,9,0.8,3.8,7.12
2019,2,23,1034,16.6,4.4,10.5,9,2.1,7,9.45
2019,2,24,1035.6,16.5,0.9,8.7,0,1.4,8.9,11.04
2019,2,25,1037.5,17.4,-0.4,8.5,2,1.1,9.3,10.99
2019,2,26,1034.9,19.5,-0.5,9.5,0,1.7,9.5,11.29
2019,2,27,1026.6,17.9,0.4,9.1,0,0.3,9.1,11.38
2019,2,28,1016.1,12.5,4.4,8.4,8,1.2,1.7,5.04
2019,3,1,1019.9,11.5,7.4,9.4,8,1.5,0.2,3.44
2019,3,2,1011.4,13.7,7,10.3,8,2.1,3,7.14
2019,3,3,1000.9,12,8.2,10.1,8,4.9,0,1.94
2019,3,4,994.4,9.9,3.5,6.7,7,2.7,3.5,7.51
2019,3,5,1003.1,11.9,2.1,7,1,2.9,5.5,9.6
2019,3,6,989.7,12.3,6.5,9.4,8,3.9,0.4,3.63
2019,3,7,991.4,11.1,4.8,7.9,4,4.2,5.1,9.31
2019,3,8,1012.8,10,2.4,6.2,6,2.5,2.5,6.72
2019,3,9,1010.4,13.4,5.9,9.7,6,5,5.1,9.65
2019,3,10,1004.6,10.1,5.4,7.8,7,7.5,6.4,10.55
2019,3,11,1024.2,11.2,1.7,6.4,1,5.8,7.8,12.52
2019,3,12,1005.5,9.9,5.5,7.7,8,6.2,2,2.91
2019,3,13,1006.8,11.1,3.5,7.3,7,6.2,5.3,9.66
2019,3,14,1002.7,14.5,6.9,10.7,8,7.3,4.9,10.15
2019,3,15,1007,14.1,9.1,11.6,8,7.6,0.3,5.02
2019,3,16,1005.2,11.7,9.7,10.7,8,6.8,0,3.45
2019,3,17,1005.2,10.2,3.3,6.8,2,4.3,9.4,13.52
2019,3,18,1020.2,11.1,3,7,5,3.5,4.6,9.68
2019,3,19,1027.1,12.1,5.9,9,8,1.5,0.4,6.53
2019,3,20,1032.9,12.1,8,10.1,8,2.4,0,4.53
2019,3,21,1034,12.8,8.8,10.8,7,2.1,0,6.08
2019,3,22,1029.3,10.7,8.3,9.5,8,3.7,0,3.09
2019,3,23,1031.6,13.4,7.2,10.3,8,1.9,2.6,10.24
2019,3,24,1031.6,13.8,2.9,8.3,2,1.7,9.9,17.06
2019,3,25,1032.9,12.3,5.4,8.9,0,3.8,10.8,17.89
2019,3,26,1035,13.7,-0.1,6.8,2,1.8,10.3,x
2019,3,27,1035,13.1,4.3,8.7,8,1.2,4.5,10.32
2019,3,28,1036.7,15.3,2.3,8.8,7,1.1,6.2,13.01
2019,3,29,1031.2,16.6,1.3,9,1,1.2,10.7,18.02
2019,3,30,1022,18,2.7,10.3,0,0.7,8.9,15.89
2019,3,31,1025.2,12.8,6.9,9.9,8,3.4,4.6,11.58
2019,4,1,1023,14.5,2.6,8.6,0,2.8,10.9,18.58
2019,4,2,1004.5,8.9,1.6,5.3,8,1.8,3.6,8.57
2019,4,3,1000.3,9.5,-0.8,4.3,6,1,6.9,14.57
2019,4,4,992.3,8.8,1.8,5.3,8,3.5,0.4,5.9
2019,4,5,1001.3,12.7,4.5,8.6,7,3.7,0.9,9.46
2019,4,6,1005.8,11.1,5.9,8.5,8,3.2,1.2,6.66
2019,4,7,1008,11.6,5.9,8.8,8,2.2,0,6.42
