year,month,day,MSL pressure,Maximum temperature,Minimum temperature,Mean air temperature,Cloud cover,Wind speed,Sunshine duration,Total solar radiation
2021,1,1,1011.9,4,-2,1,8,0.8,0,0.99
2021,1,2,1017,4.1,-1.4,1.3,7,1.6,2.4,2.84
2021,1,3,1017.3,5.5,0,2.8,8,2.1,0.8,2.01
2021,1,4,1019.4,5.3,2,3.6,8,4.4,0,1.41
2021,1,5,1020.8,4.8,1.2,3,7,2.8,0.5,2.49
2021,1,6,1019.7,5.4,2.1,3.8,8,1.8,0.1,1.91
2021,1,7,1019.8,0.5,-1.4,-0.4,7,1.2,0,1.87
2021,1,8,1017.3,2,-2,0,8,0,0,1.2
2021,1,9,1026.5,4.5,-1,1.8,5,0.3,1.9,3.02
2021,1,10,1026.9,6.5,-2.2,2.1,8,1.6,0,1.6
2021,1,11,1019.9,9.5,-0.6,4.5,7,3.5,0.1,2.02
2021,1,12,1012,8.6,6.2,7.4,8,1.8,0,1.37
2021,1,13,1018.2,10.4,0.9,5.7,8,2.4,0,1.24
2021,1,14,1012.8,9.9,6.1,8,8,1.8,0,0.66
2021,1,15,1030.8,5.2,-0.4,2.4,8,1.1,0.9,3.09
2021,1,16,1018,10,-1.5,4.3,8,3.5,1.7,2.15
2021,1,17,1024,8.9,1.5,5.2,4,2.8,4,4.14
2021,1,18,1024.9,11.5,1.6,6.5,7,2.5,0,2.55
2021,1,19,1007.6,11.6,3.8,7.7,8,5.3,0.2,1.63
2021,1,20,989.9,10.5,9.3,9.9,8,4.7,0,0.5
2021,1,21,986.8,7.7,3.3,5.5,6,4.5,1.3,3.2
2021,1,22,993.1,7.1,0.2,3.6,0,2.3,3.9,4.79
2021,1,23,995,5.4,-2,1.7,4,0,3,4.61
2021,1,24,997,2.8,-2.9,-0.1,8,2.1,0.4,1.74
2021,1,25,1009,5.5,-3,1.3,0,2.6,5.9,6.1
2021,1,26,1018.3,8,-1.9,3,8,0.5,0,1.51
2021,1,27,1013.3,11.5,-0.7,5.4,8,1.6,0,1.66
2021,1,28,1001.9,13.2,7.5,10.3,8,5.4,1.9,3.98
2021,1,29,996.4,11.4,7.4,9.4,8,2.3,2.4,3.67
2021,1,30,996.4,5.3,5,5.1,8,4.5,0,1.13
2021,1,31,1002.3,3.9,0.5,2.2,5,1.4,0.3,2.52
2021,2,1,995.8,10,0.1,5,8,1.5,0,0.88
2021,2,2,994.8,13.4,2.5,8,8,2.2,2.2,4.11
2021,2,3,993.6,10.4,6.6,8.5,8,0.9,0.6,2.91
2021,2,4,1009.8,9,0.5,4.8,9,1.2,0.2,1.82
2021,2,5,1008.1,9.8,3.4,6.6,8,0.8,2.7,4.29
2021,2,6,1008.9,8.5,-1.4,3.5,8,0,4.7,6.34
2021,2,7,1006.5,3,0,1.5,7,4.6,1.5,3.47
2021,2,8,1004.3,-0.3,-2,-1.1,8,4.5,0,3.02
2021,2,9,1007.1,0.5,-2.1,-0.8,8,3,0.2,2.68
2021,2,10,1014.7,2.5,-2.4,0.1,3,2.8,5.1,6.57
2021,2,11,1026.3,1.3,-4.1,-1.4,6,1.7,3.9,6.07
2021,2,12,1029.7,2,-1.9,0.1,4,3.1,7,8.48
2021,2,13,1032.3,2.1,-4.1,-1,8,3.5,1.7,5.56
2021,2,14,1026.6,8.5,-3.1,2.7,8,3.9,0,1.66
2021,2,15,1017.4,12.5,2,7.3,8,2.4,2.5,5.12
2021,2,16,1009.3,12.6,8,10.3,8,3.1,0.3,2.84
2021,2,17,1009.2,12.7,6.8,9.8,8,4.5,0.1,2.25
2021,2,18,998.7,10.8,6.9,8.9,8,5.2,3.1,5.5
2021,2,19,1007.9,12.5,3.9,8.2,7,4.6,0,2.28
2021,2,20,1003.4,14.1,7.9,11,7,2.7,1.2,4.95
2021,2,21,1007.8,12.5,9.4,10.9,7,1.2,0.2,4.2
2021,2,22,1012.5,10,5.9,8,8,0,0.2,2.14
2021,2,23,1022.4,14.1,4.2,9.2,4,4.6,6.5,9.58
2021,2,24,1022,15.5,8.2,11.9,6,4.6,3.9,6.91
2021,2,25,1025.8,11.5,8,9.8,8,2,0.3,5.17
2021,2,26,1037.2,12,-0.9,5.5,8,1.1,9.5,11.79
2021,2,27,1041.3,12.8,-1.3,5.8,0,0,8.6,11.23
2021,2,28,1038.5,9.3,0.9,5.1,8,2,5.9,9.25
2021,3,1,1032.4,10.5,2.5,6.5,8,3.2,5.7,9.06
2021,3,2,1030.7,8.1,2.2,5.2,8,1.9,2.9,6.29
2021,3,3,1028.5,7.2,1.5,4.3,8,1.7,0,2.9
2021,3,4,1024.6,5.3,3.8,4.5,8,2,0,2.28
2021,3,5,1031.3,5.6,1.2,3.4,8,3.2,0.2,5.52
2021,3,6,1035.1,7.5,-2.1,2.7,5,1.1,4.2,7.92
2021,3,7,1028.9,6.5,-0.5,3,7,1.1,5.2,9.51
2021,3,8,1025.1,11.7,-1.9,4.9,8,0.6,3,9.07
2021,3,9,1021.9,12.5,-0.4,6,0,2.2,6.9,13.28
2021,3,10,1010.5,11.1,5,8.1,8,5.3,0,1.58
2021,3,11,994.3,11.6,6.6,9.1,5,7.6,5.8,10.32
2021,3,12,1002.9,10.9,3.4,7.2,7,4.5,4.7,8.97
2021,3,13,993.8,10.5,4.4,7.5,6,6.5,5.3,10.06
2021,3,14,1014.3,10,4.3,7.2,6,3.8,2.3,7.03
2021,3,15,1020.2,11.8,6.6,9.2,7,3.4,5.7,7.39
2021,3,16,1026.3,15.7,6,10.8,6,2.6,4.1,8.76
2021,3,17,1034,10.2,3.5,6.8,8,2,2.5,7.37
2021,3,18,1030.7,10.4,1.5,6,7,2.3,0.1,4.65
2021,3,19,1027.3,10.9,6.6,8.8,6,3.3,6.1,11.03
2021,3,20,1032.5,10.9,1.6,6.3,8,1.3,0,4.65
2021,3,21,1029.6,11.8,6.3,9.1,8,2.6,3.9,10.01
2021,3,22,1027.1,13.7,3.6,8.7,1,1.5,8.7,16.46
2021,3,23,1025.5,12.5,1,6.8,8,1.4,4.3,10.1
2021,3,24,1021.5,12.3,2.7,7.5,8,2.6,1,7.26
2021,3,25,1020.3,13,1.2,7.1,8,3.5,4.4,9.77
2021,3,26,1009.7,11.1,7.6,9.3,8,5,0.5,5.48
2021,3,27,1021.3,11.1,2,6.5,2,4,6.3,12.12
2021,3,28,1022.1,12.4,7,9.7,8,7,0.1,5.36
2021,3,29,1026.3,18,9.3,13.7,8,4.7,6.5,15.03
2021,3,30,1028.7,22.5,1.3,11.9,3,1,10.5,18.66
2021,3,31,1020.6,19.6,6,12.8,7,0,0,8.29
2021,4,1,1024.2,14.7,7.9,11.3,8,3.3,4.9,12.24
2021,4,2,1030.1,10.5,4.2,7.3,7,3,6.7,16.41
2021,4,3,1033.1,8.5,4.1,6.3,8,3.5,0.4,6.82
2021,4,4,1028.1,15.2,-1.8,6.7,1,1.4,11.2,20.55
2021,4,5,1017.1,7.6,5.8,6.7,7,3.4,7.2,14.82
2021,4,6,1022.6,7.5,-0.7,3.4,5,3.2,8.2,14.18
2021,4,7,1024.1,7.8,-2.2,2.8,7,2.3,2,9.36
2021,4,8,1023.2,12,2.6,7.3,7,2.9,4.3,10.9
2021,4,9,1014.3,12.4,3.5,8,5,3.3,4.3,12.94
2021,4,10,1013.8,7.9,5,6.5,8,3.4,0.3,4.66
2021,4,11,1018.5,8.4,1,4.7,4,3.4,7,13.97
2021,4,12,1027.8,9.5,-1,4.3,8,0,7.4,14.95
2021,4,13,1032.9,11.6,-2.4,4.6,2,0.9,7.8,14.04
2021,4,14,1032.6,12.4,1.6,7,6,0.5,6.4,14.78
2021,4,15,1033.8,11.2,-1.7,4.8,3,3.1,7.5,16.21
2021,4,16,1032,11,-0.7,5.2,6,2.4,8.2,16.85
2021,4,17,1030.2,12.9,-2.5,5.2,0,2.1,13.4,24.07
2021,4,18,1025.2,15,-1.2,6.9,2,0.8,12.5,22.21
2021,4,19,1022.7,16.6,-0.3,8.2,0,1.1,11.7,21.44
2021,4,20,1019.4,17.5,1,9.3,0,0.7,10.2,20
2021,4,21,1020,14.8,4.2,9.5,6,4.1,9.2,17.2
2021,4,22,1027.1,14.5,1.9,8.2,1,3.5,13,24.76
2021,4,23,1028.7,17.9,0.7,9.3,0,2.6,12,24.49
2021,4,24,1027.8,16.5,3.1,9.8,3,3.4,13.5,24.74
2021,4,25,1028.9,14.1,3.5,8.8,5,4,12.1,23.61
2021,4,26,1024.1,13.5,2,7.8,6,3.5,9.8,23.17
2021,4,27,1012.3,14.5,-0.1,7.2,6,1.2,5.4,13.6
2021,4,28,1006,10.5,6.2,8.3,8,3.5,0,3.78
2021,4,29,1011.2,11.1,1.2,6.1,5,2,6,15.04
2021,4,30,1015.5,11.5,4.8,8.2,5,2.2,3.4,15.58
2021,5,1,1016.6,12,0.2,6.1,7,1.8,6.2,13.47
2021,5,2,1022,13.4,0.6,7,5,1.2,8,18.63
2021,5,3,1017.2,12.6,4.5,8.6,8,5.7,1.2,10.45
2021,5,4,1000.2,13.5,7.4,10.4,7,7.1,7.8,20.15
2021,5,5,1009.7,12.6,2.9,7.8,6,2.5,8.4,16.94
2021,5,6,1006.7,12.1,-0.1,6,6,2.3,7.4,17.64
2021,5,7,1016.4,13.5,2.6,8.1,3,2.3,10.3,19.48
2021,5,8,1002.7,16.1,5.9,11,8,4.2,0,4.07
2021,5,9,997.6,17.4,12,14.7,7,3.5,2.7,11.51
2021,5,10,998.1,15.5,10,12.8,8,4.2,9.7,15.37
2021,5,11,1006.9,15.6,4.7,10.2,7,1.9,6.1,17.97
2021,5,12,1008.7,16,8.5,12.3,4,4.2,6.3,15.9
2021,5,13,1005.7,13.4,9.3,11.4,8,2.3,1.3,9.63
2021,5,14,1010.4,10.3,6,8.2,8,1.6,0.5,7.58
2021,5,15,1001,14.2,8.8,11.5,8,2.2,3.7,11.45
2021,5,16,999.5,14.4,6.9,10.7,8,2.7,2.1,12.61
2021,5,17,1005,15,9.2,12.1,8,2,3,12.83
2021,5,18,1013.4,15,5.1,10.1,8,1.6,5.9,18.24
2021,5,19,1016.9,16.7,8.1,12.4,4,3.5,8.9,22.75
2021,5,20,1015.6,13.3,6,9.7,8,3.4,0.7,8.74
2021,5,21,996.6,12.3,9.8,11.1,8,7,0.5,7.67
2021,5,22,1003,14,8.7,11.3,8,3,3.6,13
2021,5,23,1009.8,13,4,8.5,8,3.3,2.1,12.45
2021,5,24,1001.8,13.3,5.7,9.5,8,3.7,6.7,18.27
2021,5,25,1014.3,15.5,6.3,10.9,8,3.7,3.4,12.29
2021,5,26,1014.8,17,5,11,8,2.5,7.3,20.15
2021,5,27,1020.8,20,5,12.5,3,1.1,11.4,22.93
2021,5,28,1023.2,18,8.2,13.1,7,1.7,0.6,11.98
2021,5,29,1026.3,21,11.5,16.3,7,1.9,6.6,20.84
2021,5,30,1029,20.3,5.5,12.9,8,2.9,9.2,23.76
2021,5,31,1023.3,23.6,6.4,15,8,1.9,10.3,24.55
2021,6,1,1016.1,25.2,8.9,17.1,0,1.6,14.1,28.85
2021,6,2,1012.3,26.9,9.4,18.1,1,2.6,8.3,19.21
2021,6,3,1018.6,20.8,13.9,17.4,8,2.8,5.6,20.24
2021,6,4,1023,18.1,11.6,14.9,8,1.1,3.5,9.75
2021,6,5,1025,22,8.2,15.1,0,1.7,13.5,25.39
2021,6,6,1024.9,22.9,11.2,17,8,1.1,4.5,19.57
2021,6,7,1024.3,20.8,12.9,16.9,8,1.8,4.3,17.76
2021,6,8,1024.3,22,9.2,15.6,4,1.4,13.2,29.11
2021,6,9,1022.4,24.1,9.7,16.9,1,2.4,11.6,27.97
2021,6,10,1021.6,22.5,15,18.8,8,1.8,5,16.04
2021,6,11,1020.6,22.9,15.6,19.3,7,2.7,5,15.28
2021,6,12,1023.2,23.3,12.6,17.9,3,2.1,10.6,27.58
2021,6,13,1027.6,26.4,12.2,19.3,0,1.3,14.2,28.49
2021,6,14,1021.1,26.5,13,19.8,2,2.7,11.1,25.43
2021,6,15,1022.6,24.6,13.8,19.2,3,1.8,11.5,26.52
2021,6,16,1013.6,26.5,12.1,19.3,0,2.8,9.6,24.23
2021,6,17,1010,23,16.6,19.8,8,2.1,1,9.05
2021,6,18,1013.5,15.4,13.4,14.4,8,3.4,0,3.49
2021,6,19,1015.5,15.5,11.5,13.5,8,1.1,0,5.75
2021,6,20,1009.5,17,12.1,14.6,8,1.7,0.3,7.67
2021,6,21,1011.3,14.5,11.4,12.9,8,3.4,0,6.51
2021,6,22,1020.1,16.7,10.4,13.6,6,5,4.8,16.18
2021,6,23,1023.8,21,5.1,13.1,8,2.1,10.8,28.25
2021,6,24,1022.5,20,8.5,14.3,8,1.6,0.4,10.95
2021,6,25,1017.1,20.6,13,16.8,7,2.5,7,18.74
2021,6,26,1017.2,21.3,11.6,16.4,6,2,7.9,21.24
2021,6,27,1016.2,19,14.1,16.6,8,3.1,0,5.96
2021,6,28,1014.6,19.6,14.3,17,8,2.3,1.8,8.44
2021,6,29,1015.3,19,14,16.5,7,2.2,1.4,12.18
2021,6,30,1017.3,18,10.8,14.4,8,1.5,0.8,12.73
2021,7,1,1018,21,10.5,15.8,6,1.4,4.3,17.68
2021,7,2,1017.2,22.5,14.1,18.3,8,1.5,4.8,17.08
2021,7,3,1012.6,20.5,15,17.8,7,2.2,1.5,11.85
2021,7,4,1008.2,21.3,15,18.1,8,2.3,3.3,14.95
2021,7,5,1006.6,19.5,12.8,16.1,5,2.7,5.5,17.58
2021,7,6,996.9,19.5,12.4,15.9,3,3.7,5.3,15.7
2021,7,7,1010.4,20.5,13.3,16.9,7,2.3,4.8,15.97
2021,7,8,1019.3,21,13.4,17.2,6,2.1,4.4,16.15
2021,7,9,1021.8,23,14.3,18.6,7,1.4,7.8,21.69
2021,7,10,1016.4,19.3,12.2,15.8,8,0.6,1.1,10.66
2021,7,11,1015.4,19.2,11,15.1,7,2,1.8,10.98
2021,7,12,1011.6,21.9,13.5,17.7,6,1.7,3.6,16.34
2021,7,13,1014.8,22.5,13.1,17.8,6,2,7.1,17.39
2021,7,14,1018.6,24.3,14,19.1,6,2.3,13.3,21.06
2021,7,15,1022.1,22.3,13.4,17.9,8,2.3,2.5,12.58
2021,7,16,1026.6,26.3,10,18.1,1,2.1,13.2,27.45
2021,7,17,1028.7,27.4,13,20.2,0,2.7,14,27.99
2021,7,18,1026.2,30.2,14,22.1,0,1.1,13.7,26.84
2021,7,19,1021.5,30,16.5,23.3,0,0.8,12.4,25.54
2021,7,20,1019.9,30.5,17.7,24.1,0,0.9,13.7,27.64
2021,7,21,1022.2,29.5,15.9,22.7,1,1,12.7,23.8
2021,7,22,1023.2,28.6,16.9,22.8,0,1.5,12.9,25.64
2021,7,23,1018.7,25,15.6,20.3,3,2.9,10.7,24.44
2021,7,24,1008.3,22.6,14.5,18.6,8,2.9,2.4,8.06
2021,7,25,1008.4,21.4,16.1,18.8,8,1.5,0.2,8.8
2021,7,26,1011,25.7,13.5,19.6,5,1.2,8.4,18.37
2021,7,27,1009.3,22.4,15.9,19.1,7,2.1,7,18.53
2021,7,28,1007.6,19.5,15.9,17.7,7,4,5.2,14.97
2021,7,29,1010.4,21.3,11.1,16.2,7,5.3,7.8,22.63
2021,7,30,1000,18.6,13.5,16.1,8,3.8,3.4,12.52
2021,7,31,1009.3,19.8,13,16.4,7,2.7,0.8,11.85
2021,8,1,1010.7,19.8,14.1,16.9,7,1.3,1.9,12.32
2021,8,2,1014.9,19.3,11.7,15.5,7,2.2,3.4,14.36
2021,8,3,1013.8,21.6,8.8,15.2,5,1,10.6,24.26
2021,8,4,1013.7,22.5,10.7,16.6,6,1.4,9,21.83
2021,8,5,1007,20,11.9,15.9,8,3.4,2.6,11.74
2021,8,6,997.1,22,15,18.5,7,5.1,4.3,15.16
2021,8,7,996.3,20,12.3,16.1,7,1.4,4.3,14.56
2021,8,8,1004.3,19.9,12.5,16.2,8,4,5.4,11.84
2021,8,9,1010.5,21.3,12.7,17,7,3.4,5.2,14.68
2021,8,10,1015.6,23.3,11.7,17.5,7,1.6,8.9,21.02
2021,8,11,1018.5,22.5,11.5,17,3,2.3,9.2,18.23
2021,8,12,1018.1,21.9,14.8,18.4,8,1.7,2.7,9.82
2021,8,13,1020.9,21.6,12.4,17,8,3.1,1.8,11.8
2021,8,14,1020.8,23.9,13.8,18.9,8,2.3,6.4,16.45
2021,8,15,1014.7,22,14.1,18.1,8,2.8,4.5,12.79
2021,8,16,1016.5,19,11.6,15.3,7,3,2.6,11.83
2021,8,17,1020.4,18.7,10.5,14.6,7,3.3,0,5.15
2021,8,18,1018.3,21.9,15.5,18.7,8,2.7,7,14.81
2021,8,19,1015.3,20.9,12.9,16.9,4,2.7,3.7,13.04
2021,8,20,1015.9,20.5,13.3,16.9,8,1.4,0.1,7.49
2021,8,21,1016,21.4,14.9,18.1,8,1,1.9,8.41
2021,8,22,1019.2,22.6,14,18.3,8,2.6,9.9,16.98
2021,8,23,1027.6,21.6,15.5,18.6,8,1.6,5.6,x
2021,8,24,1030.2,23,12.3,17.6,7,2.7,10.1,17.28
2021,8,25,1027,21.3,12,16.6,6,2.8,11.5,20.1
2021,8,26,1022.5,19.3,14.8,17.1,7,3.3,6.2,15.41
2021,8,27,1023.3,18.1,13,15.6,6,2.5,3.7,9.94
2021,8,28,1026.4,20.9,9.5,15.2,7,3.3,5.4,13.05
2021,8,29,1025.6,18.8,8.7,13.8,8,2.1,3.1,9.13
2021,8,30,1026.4,16.8,13.5,15.2,8,3.2,0,5.69
2021,8,31,1029.2,18.5,13.2,15.8,8,2.7,0.1,6.95
2021,9,1,1031.4,18,13.6,15.8,7,2.8,0,8.26
2021,9,2,1029.1,19.3,14.2,16.8,8,2.6,2.9,10.66
2021,9,3,1022.8,21,13,17,6,2.6,3.6,11.47
2021,9,4,1019.3,19.5,10,14.8,8,2.2,0.2,7.44
2021,9,5,1020.6,25.3,13.9,19.6,8,1.9,7.1,15.14
2021,9,6,1023.3,27.3,11.8,19.6,7,0.6,8.2,14.99
2021,9,7,1022.3,28.7,13.1,20.9,0,0.9,11.2,18.51
2021,9,8,1013.4,28.7,14.4,21.6,2,2.2,9.7,17.9
2021,9,9,1009.2,21.4,16.2,18.8,8,1.5,1.7,7
2021,9,10,1009.8,21.5,15.9,18.7,8,1.3,1.2,7.61
2021,9,11,1017.2,22.2,16.6,19.4,6,2.2,4.4,11.29
2021,9,12,1019.2,20.4,10.6,15.5,8,0.7,2.6,9.85
2021,9,13,1018.7,20.5,13.8,17.1,8,2.6,0.2,9.12
2021,9,14,1012.2,19.9,14.8,17.4,8,0.6,0.1,4.8
2021,9,15,1014.5,21,14.4,17.7,7,1.3,6.3,12.73
2021,9,16,1018.9,21.9,9.6,15.8,8,1.5,5.3,12.32
2021,9,17,1015.5,21,11.8,16.4,6,1.3,3.8,10.95
2021,9,18,1014.6,23.4,10,16.7,0,1.5,5.8,11.87
2021,9,19,1014.6,20.8,11.2,16,8,1.2,1.2,6.59
2021,9,20,1022.3,20.2,10.9,15.6,1,1.8,10.3,15.23
